Sample Number,Date Submitted,Analysis (Lead),Lead (ppb),Analysis (Copper),Copper (ppb),Street #,Street Name,City,Zip Code
LG07943,2/2/2016,Lead,10,Copper,180,2762 ,GOLFSIDE LN,FLINT,48504
LG02130,1/21/2016,Lead,12,Copper,0,2806 ,GOLFSIDE LN,FLINT,48504
LG05726,1/28/2016,Lead,4,Copper,0,2004 ,GOODRICH AVE,FLINT,48503
LG03520,1/25/2016,Lead,12,Copper,0,2005 ,GOODRICH AVE,FLINT,48503
LG03090,1/24/2016,Lead,6,Copper,160,2016 ,GOODRICH AVE,FLINT,48503
LG03522,1/25/2016,Lead,2,Copper,0,2016 ,GOODRICH AVE,FLINT,48503
LF99976,1/15/2016,Lead,3,Copper,50,2017 ,GOODRICH AVE,FLINT,48503
LG06847,2/1/2016,Lead,0,Copper,0,2033 ,GOODRICH AVE,FLINT,48503
LG16880,2/23/2016,Lead,1,Copper,150,3741 ,GOREY AVE,FLINT,48506
LG43218,5/9/2016,Lead,0,Copper,110,3741,GOREY AVE,FLINT,48506
LG16878,2/23/2016,Lead,0,Copper,90,3802 ,GOREY AVE,FLINT,48506
LG16904,2/23/2016,Lead,0,Copper,100,3802 ,GOREY AVE,FLINT,48506
LG07942,2/2/2016,Lead,0,Copper,0,3842 ,GOREY AVE,FLINT,48501
LG10071,2/6/2016,Lead,0,Copper,60,3814 ,GOREY AVE (INTERSTATE BATTERY OF F,FLINT,48506
LF97347,12/18/2015,Lead,8,Copper,150,119 ,GRACE ST,FLINT,48503
LG02207,1/21/2016,Lead,1,Copper,0,215 ,GRACE ST,FLINT,48503
LG15475,2/18/2016,Lead,2,Copper,0,409 ,GRACE ST,FLINT,48503
LG10675,2/8/2016,Lead,6,Copper,0,613 ,GRACE ST,FLINT,48503
LG42840,5/5/2016,Lead,2,Copper,0,405,GRACE ST APT 1,FLINT,48503
LG30258,3/30/2016,Lead,5,Copper,80,433,GRACELAWN AVE,FLINT,48505
LF92710,11/18/2015,Lead,5,Copper,110,1262 ,GRACELAWN AVE,FLINT,48505
LG26895,3/22/2016,Lead,0,Copper,0,2620,GRADY CT,FLINT,48505
LG06307,1/30/2016,Lead,0,Copper,0,2630 ,GRADY CT,FLINT,48505
LG26899,3/22/2016,Lead,0,Copper,0,2636,GRADY CT,FLINT,48505
LG39834,4/27/2016,Lead,0,Copper,130,7025,GRANADA DR,FLINT,48532
LG07666,2/2/2016,Lead,0,Copper,0,7035 ,GRANADA DR,FLINT,48532
LG07823,2/2/2016,Lead,5,Copper,80,7049 ,GRANADA DR,FLINT,48532
LG04981,1/27/2016,Lead,0,Copper,0,7087 ,GRANADA DR,FLINT,48532
LG08737,2/3/2016,Lead,21,Copper,0,712 ,GRAND TRAVERSE ST #8,FLINT,48502
LG05030,1/27/2016,Lead,0,Copper,0,217 ,GRANDMERE DR,FLINT,48507
LG10828,2/8/2016,Lead,0,Copper,80,4013 ,GRANDVIEW DR,FLUSHING,48433
LG00956,1/20/2016,Lead,0,Copper,0,1225 ,GRANDY ST,FLINT,48503
LG18128,2/25/2016,Lead,0,Copper,0,1225 ,GRANDY ST,FLINT,48503
LG19456,3/2/2016,Lead,0,Copper,0,1225 ,GRANDY ST,FLINT,48503
LG24279,3/16/2016,Lead,0,Copper,0,1225,GRANDY ST,FLINT,48503
LG29728,3/30/2016,Lead,0,Copper,0,1225,GRANDY ST,FLINT,48503
LG35583,4/14/2016,Lead,0,Copper,0,1225,GRANDY ST,FLINT,48503
LG30519,3/31/2016,Lead,0,Copper,0,4501,GRANT ST,FLINT,48505
LG04867,1/27/2016,Lead,3,Copper,0,4305 ,GRANT ST #1,FLINT,48505
LG17998,2/24/2016,Lead,3,Copper,170,4501 ,GRANT ST #1,FLINT,48505
LF99973,1/15/2016,Lead,0,Copper,0,5306 ,GRANVILLE AVE,FLINT,48505
LG23026,3/13/2016,Lead,0,Copper,50,5307,GRANVILLE AVE,FLINT,48504
LG02123,1/21/2016,Lead,0,Copper,0,5313 ,GRANVILLE AVE,FLINT,48505
LG19154,3/1/2016,Lead,2,Copper,170,5414 ,GRANVILLE AVE,FLINT,48505
LG02606,1/22/2016,Lead,0,Copper,0,5502 ,GRANVILLE AVE,FLINT,48505
LG04588,1/26/2016,Lead,3,Copper,100,5518 ,GRANVILLE AVE,FLINT,48505
LF92729,11/18/2015,Lead,0,Copper,0,3302 ,GRATIOT AVE,FLINT,48503
LG06264,1/30/2016,Lead,0,Copper,0,3302 ,GRATIOT AVE,FLINT,48503
LG30552,3/31/2016,Lead,0,Copper,0,3302,GRATIOT AVE,FLINT,48503
LG44280,5/12/2016,Lead,0,Copper,0,3302,GRATIOT AVE,FLINT,48505
LG16596,2/22/2016,Lead,0,Copper,0,3306 ,GRATIOT AVE,FLINT,48503
LG04202,1/26/2016,Lead,4,Copper,0,3410 ,GRATIOT AVE,FLINT,48503
LG31161,4/2/2016,Lead,1,Copper,0,3410,GRATIOT AVE,FLINT,48503
LG31191,4/2/2016,Lead,18,Copper,170,3410,GRATIOT AVE,FLINT,48503
LG12284,2/11/2016,Lead,8,Copper,0,3413 ,GRATIOT AVE,FLINT,48503
LG09858,2/5/2016,Lead,0,Copper,0,3417 ,GRATIOT AVE,FLINT,
LF87372,10/13/2015,Lead,0,Copper,240,3418 ,GRATIOT AVE,FLINT,48503
LG28237,3/25/2016,Lead,13,Copper,90,3501,GRATIOT AVE,FLINT,48503
LG52254,6/14/2016,Lead,0,Copper,0,3501,GRATIOT AVE,FLINT,48503
LG35438,4/13/2016,Lead,5,Copper,70,3621,GRATIOT AVE,FLINT,48503
LF87385,10/13/2015,Lead,6,Copper,0,3622 ,GRATIOT AVE,FLINT,48503
LG02905,1/23/2016,Lead,26,Copper,160,3622 ,GRATIOT AVE,FLINT,48503
LG32200,4/6/2016,Lead,106,Copper,290,3622,GRATIOT AVE,FLINT,48503
LG39260,4/25/2016,Lead,7,Copper,60,3622,GRATIOT AVE,FLINT,48503
LG46225,5/19/2016,Lead,4,Copper,0,3622,GRATIOT AVE,FLINT,48503
LG49210,6/2/2016,Lead,977,Copper,"5,390",3622,GRATIOT AVE,FLINT,48503
LG52242,6/14/2016,Lead,81,Copper,530,3622,GRATIOT AVE,FLINT,48503
LG14239,2/16/2016,Lead,5,Copper,90,3705 ,GRATIOT AVE,FLINT,48503
LG01695,1/21/2016,Lead,0,Copper,0,3714 ,GRATIOT AVE,FLINT,48503
LG06319,1/30/2016,Lead,2,Copper,170,3717 ,GRATIOT AVE,FLINT,48503
LG03595,1/25/2016,Lead,0,Copper,0,3730 ,GRATIOT AVE,FLINT,48503
LG10897,2/8/2016,Lead,0,Copper,120,3306 ,GRAY AVE,FLINT,48504
LG17394,2/24/2016,Lead,2,Copper,0,139 ,GREEN ST,FLINT,48503
LG19739,3/2/2016,Lead,0,Copper,0,139 ,GREEN ST,FLINT,48503
LG24231,3/16/2016,Lead,2,Copper,0,139,GREEN ST,FLINT,48503
LG30114,3/30/2016,Lead,0,Copper,0,139,GREEN ST,FLINT,48503
LG35035,4/13/2016,Lead,5,Copper,0,139,GREEN ST,FLINT,48503
LG47362,5/25/2016,Lead,1,Copper,0,139,GREEN ST,FLINT,48503
LG54850,6/22/2016,Lead,0,Copper,0,139,GREEN ST,FLINT,48503
LG18090,2/25/2016,Lead,3,Copper,240,202 ,GREEN ST,FLINT,48503
LG19825,3/2/2016,Lead,7,Copper,230,202 ,GREEN ST,FLINT,48503
LG25095,3/18/2016,Lead,2,Copper,110,202,GREEN ST,FLINT,48503
LG30089,3/30/2016,Lead,1,Copper,80,202,GREEN ST,FLINT,48503
LG36398,4/16/2016,Lead,0,Copper,0,202,GREEN ST,FLINT,48503
LG17668,2/24/2016,Lead,7,Copper,70,210 ,GREEN ST,FLINT,48503
LG19743,3/2/2016,Lead,4,Copper,0,210 ,GREEN ST,FLINT,48503
LG24361,3/16/2016,Lead,6,Copper,0,210,GREEN ST,FLINT,48503
LG30108,3/30/2016,Lead,3,Copper,0,210,GREEN ST,FLINT,48503
LG35047,4/13/2016,Lead,16,Copper,100,210,GREEN ST,FLINT,48503
LG47360,5/25/2016,Lead,6,Copper,70,210,GREEN ST,FLINT,48503
LG54844,6/22/2016,Lead,5,Copper,80,210,GREEN ST,FLINT,48503
LG02965,1/23/2016,Lead,3,Copper,0,214 ,GREEN ST,FLINT,48503
LG56017,6/28/2016,Lead,18,Copper,140,233,GREEN ST,FLINT,48503
LG18131,2/25/2016,Lead,0,Copper,0,409 ,GREEN ST,FLINT,48503
LG12951,2/12/2016,Lead,0,Copper,0,601 ,GREEN ST,FLINT,48503
LG09958,2/5/2016,Lead,7,Copper,510,615 ,GREEN ST,FLINT,48503
LG06168,1/29/2016,Lead,0,Copper,0,50 ,GREEN VALLEY RD,FLINT,48506
LG02148,1/21/2016,Lead,0,Copper,0,82 ,GREEN VALLEY RD,FLINT,48506
LG12245,2/11/2016,Lead,0,Copper,0,243 ,GREEN VALLEY RD,FLINT,48506
LG26478,3/21/2016,Lead,2,Copper,50,1925,GREENBRAIR LN,FLINT,48507
LG11924,2/10/2016,Lead,0,Copper,90,1805 ,GREENBRIAR LN,FLINT,48507
LG09681,2/5/2016,Lead,0,Copper,50,1814 ,GREENBRIAR LN,FLINT,48507
LG11366,2/9/2016,Lead,1,Copper,70,1822 ,GREENBRIAR LN,FLINT,48507
LG06831,2/1/2016,Lead,0,Copper,90,1825 ,GREENBRIAR LN,FLINT,48507
LG12961,2/12/2016,Lead,1,Copper,150,1829 ,GREENBRIAR LN,FLINT,48507
LG07566,2/2/2016,Lead,0,Copper,60,1902 ,GREENBRIAR LN,FLINT,48507
LG01314,1/21/2016,Lead,0,Copper,0,1913 ,GREENBRIAR LN,FLINT,48507
LG20523,3/4/2016,Lead,2,Copper,100,1914 ,GREENBRIAR LN,FLINT,48507
LG24808,3/17/2016,Lead,1,Copper,60,1914,GREENBRIAR LN,FLINT,48507
LG00987,1/20/2016,Lead,0,Copper,150,1918 ,GREENBRIAR LN,FLINT,48507
LG01667,1/21/2016,Lead,0,Copper,0,1926 ,GREENBRIAR LN,FLINT,
LG03699,1/25/2016,Lead,2,Copper,90,1929 ,GREENBRIAR LN,FLINT,48507
LG16825,2/23/2016,Lead,3,Copper,60,1929 ,GREENBRIAR LN,FLINT,48507
LG07470,2/2/2016,Lead,0,Copper,90,1930 ,GREENBRIAR LN,FLINT,48507
LG47996,5/26/2016,Lead,40,Copper,80,1933,GREENBRIAR LN,FLINT,48507
LG01424,1/21/2016,Lead,0,Copper,0,1934 ,GREENBRIAR LN,FLINT,48507
LG23056,3/13/2016,Lead,0,Copper,70,1506,GREENBROOK LN,FLINT,48507
LG36280,4/15/2016,Lead,4,Copper,100,1506,GREENBROOK LN,FLINT,48507
LG01906,1/21/2016,Lead,0,Copper,60,1510 ,GREENBROOK LN,FLINT,48507
LG21408,3/8/2016,Lead,0,Copper,60,1514,GREENBROOK LN,FLINT,48507
LG13402,2/15/2016,Lead,0,Copper,50,1601 ,GREENBROOK LN,FLINT,48507
LG13403,2/15/2016,Lead,0,Copper,0,1601 ,GREENBROOK LN,FLINT,48507
LG38264,4/22/2016,Lead,2,Copper,0,1602,GREENBROOK LN,FLINT,48507
LG21794,3/9/2016,Lead,4,Copper,0,1606,GREENBROOK LN,FLINT,48507
LG15517,2/18/2016,Lead,0,Copper,70,1613 ,GREENBROOK LN,FLINT,48507
LG00470,1/19/2016,Lead,2,Copper,0,1701 ,GREENBROOK LN,FLINT,48507
LG16405,2/21/2016,Lead,0,Copper,0,1710 ,GREENBROOK LN,FLINT,48507
LG00977,1/20/2016,Lead,0,Copper,0,1714 ,GREENBROOK LN,FLINT,48507
LG06099,1/29/2016,Lead,3,Copper,90,1718 ,GREENBROOK LN,FLINT,48507
LG10876,2/8/2016,Lead,0,Copper,80,1722 ,GREENBROOK LN,FLINT,48507
LG36252,4/15/2016,Lead,2,Copper,320,1810,GREENBROOK LN,FLINT,48507
LG06125,1/29/2016,Lead,0,Copper,0,1818 ,GREENBROOK LN,FLINT,48507
LG47177,5/24/2016,Lead,0,Copper,0,1822,GREENBROOK LN,FLINT,48507
LG00864,1/20/2016,Lead,1,Copper,110,1823 ,GREENBROOK LN,FLINT,48507
LG18789,2/29/2016,Lead,0,Copper,60,1830 ,GREENBROOK LN,FLINT,48507
LG09091,2/4/2016,Lead,2,Copper,50,1906 ,GREENBROOK LN,FLINT,48507
LG03490,1/25/2016,Lead,0,Copper,70,3702 ,GREENBROOK LN,FLINT,48507
LG06815,2/1/2016,Lead,0,Copper,0,3703 ,GREENBROOK LN,FLINT,48507
LG12659,2/12/2016,Lead,6,Copper,130,3704 ,GREENBROOK LN,FLINT,48507
LG16188,2/20/2016,Lead,0,Copper,0,3705 ,GREENBROOK LN,FLINT,48507
LG13176,2/13/2016,Lead,0,Copper,0,3711 ,GREENBROOK LN,FLINT,48507
LG21780,3/9/2016,Lead,3,Copper,50,3717,GREENBROOK LN,FLINT,48507
LG22772,3/12/2016,Lead,10,Copper,120,3719,GREENBROOK LN,FLINT,48507
LG10740,2/8/2016,Lead,0,Copper,60,3721 ,GREENBROOK LN,FLINT,48507
LG21800,3/9/2016,Lead,0,Copper,120,3722,GREENBROOK LN,FLINT,48507
LF92709,11/18/2015,Lead,2,Copper,70,3802 ,GREENBROOK LN,FLINT,48507
LG18673,2/28/2016,Lead,0,Copper,60,3802 ,GREENBROOK LN,FLINT,48507
LG31154,4/2/2016,Lead,0,Copper,0,3906,GREENBROOK LN,FLINT,48507
LG01225,1/21/2016,Lead,8,Copper,110,4002 ,GREENBROOK LN,FLINT,48507
LG31348,4/4/2016,Lead,0,Copper,0,4002,GREENBROOK LN,FLINT,48507
LG36242,4/15/2016,Lead,1,Copper,100,4002,GREENBROOK LN,FLINT,48507
LG36251,4/15/2016,Lead,2,Copper,190,4002,GREENBROOK LN,FLINT,48507
LG43542,5/10/2016,Lead,0,Copper,0,4002,GREENBROOK LN,FLINT,48507
LG49190,6/2/2016,Lead,80,Copper,700,4002,GREENBROOK LN,FLINT,48507
LG00995,1/20/2016,Lead,0,Copper,0,4005 ,GREENBROOK LN,FLINT,48507
LG04538,1/26/2016,Lead,2,Copper,50,4009 ,GREENBROOK LN,FLINT,48507
LG08458,2/3/2016,Lead,0,Copper,80,4010 ,GREENBROOK LN,FLINT,48507
LG02884,1/23/2016,Lead,0,Copper,0,4017 ,GREENBROOK LN,FLINT,
LG04369,1/26/2016,Lead,6,Copper,0,4021 ,GREENBROOK LN,FLINT,48507
LG47171,5/24/2016,Lead,1,Copper,0,4107,GREENBROOK LN,FLINT,48507
LG13168,2/13/2016,Lead,1,Copper,70,4202 ,GREENBROOK LN,FLINT,48507
LG21381,3/8/2016,Lead,3,Copper,0,4305,GREENBROOK LN,FLINT,48507
LG45487,5/17/2016,Lead,0,Copper,0,4309,GREENBROOK LN,FLINT,48507
LG26361,3/20/2016,Lead,5,Copper,90,4315,GREENBROOK LN,FLINT,48507
LG26363,3/20/2016,Lead,0,Copper,80,4315,GREENBROOK LN,FLINT,48507
LG30957,4/1/2016,Lead,1,Copper,70,4401,GREENBROOK LN,FLINT,48507
LG49219,6/2/2016,Lead,1,Copper,0,4401,GREENBROOK LN,FLINT,48507
LG22618,3/11/2016,Lead,0,Copper,90,4418,GREENBROOK LN,FLINT,48507
LG20774,3/6/2016,Lead,1,Copper,80,412,GREENFIELD AVE,FLINT,48503
LG10185,2/6/2016,Lead,0,Copper,0,417 ,GREENFIELD AVE,FLINT,48503
LF94280,12/2/2015,Lead,0,Copper,50,420 ,GREENFIELD AVE,FLINT,48503
LG31185,4/2/2016,Lead,4,Copper,140,420,GREENFIELD AVE,FLINT,48503
LG01907,1/21/2016,Lead,0,Copper,0,501 ,GREENFIELD AVE,FLINT,48503
LG10124,2/6/2016,Lead,11,Copper,140,514 ,GREENFIELD AVE,FLINT,48507
LG23046,3/13/2016,Lead,16,Copper,140,519,GREENFIELD AVE,FLINT,48503
LG27416,3/23/2016,Lead,17,Copper,0,519,GREENFIELD AVE,FLINT,48503
LG35421,4/13/2016,Lead,6,Copper,0,519,GREENFIELD AVE,FLINT,48503
LG35429,4/13/2016,Lead,39,Copper,210,519,GREENFIELD AVE,FLINT,48503
LG42801,5/5/2016,Lead,2,Copper,70,519,GREENFIELD AVE,FLINT,48503
LG42802,5/5/2016,Lead,9,Copper,300,519,GREENFIELD AVE,FLINT,48503
LG43661,5/10/2016,Lead,7,Copper,320,519,GREENFIELD AVE,FLINT,48503
LG43684,5/10/2016,Lead,8,Copper,70,519,GREENFIELD AVE,FLINT,48503
LG47213,5/24/2016,Lead,3,Copper,0,519,GREENFIELD AVE,FLINT,48503
LG47218,5/24/2016,Lead,10,Copper,210,519,GREENFIELD AVE,FLINT,48503
LG52275,6/14/2016,Lead,20,Copper,110,519,GREENFIELD AVE,FLINT,48503
LG52279,6/14/2016,Lead,5,Copper,0,519,GREENFIELD AVE,FLINT,48503
LG17331,2/24/2016,Lead,0,Copper,0,522 ,GREENFIELD AVE,FLINT,48503
LG19498,3/2/2016,Lead,0,Copper,60,522 ,GREENFIELD AVE,FLINT,48503
LG23942,3/16/2016,Lead,0,Copper,0,522,GREENFIELD AVE,FLINT,48503
LG14915,2/17/2016,Lead,2,Copper,0,526 ,GREENFIELD AVE,FLINT,48503
LG17566,2/24/2016,Lead,0,Copper,60,526 ,GREENFIELD AVE,FLINT,48503
LG19499,3/2/2016,Lead,5,Copper,0,526 ,GREENFIELD AVE,FLINT,48503
LG24379,3/16/2016,Lead,0,Copper,0,526,GREENFIELD AVE,FLINT,48503
LG29664,3/30/2016,Lead,0,Copper,50,526,GREENFIELD AVE,FLINT,48503
LG35733,4/14/2016,Lead,12,Copper,0,526,GREENFIELD AVE,FLINT,48503
LG11333,2/9/2016,Lead,0,Copper,0,527 ,GREENFIELD AVE,FLINT,48503
LG17327,2/24/2016,Lead,0,Copper,0,527 ,GREENFIELD AVE,FLINT,48503
LG19508,3/2/2016,Lead,4,Copper,0,527 ,GREENFIELD AVE,FLINT,48503
LG23947,3/16/2016,Lead,3,Copper,0,527,GREENFIELD AVE,FLINT,48503
LG29662,3/30/2016,Lead,1,Copper,0,527,GREENFIELD AVE,FLINT,48503
LG35840,4/14/2016,Lead,1,Copper,0,527,GREENFIELD AVE,FLINT,48503
LG49294,6/2/2016,Lead,0,Copper,0,602,GREENFIELD AVE,FLINT,48503
LG56010,6/28/2016,Lead,1,Copper,80,606,GREENFIELD AVE,FLINT,48503
LG06919,2/1/2016,Lead,0,Copper,0,614 ,GREENFIELD AVE,FLINT,48503
LG17339,2/24/2016,Lead,0,Copper,0,614 ,GREENFIELD AVE,FLINT,48503
LG19510,3/2/2016,Lead,0,Copper,0,614 ,GREENFIELD AVE,FLINT,48503
LG24760,3/17/2016,Lead,0,Copper,0,614,GREENFIELD AVE,FLINT,48503
LG29668,3/30/2016,Lead,0,Copper,0,614,GREENFIELD AVE,FLINT,48503
LG34831,4/13/2016,Lead,0,Copper,0,614,GREENFIELD AVE,FLINT,48503
LG06955,2/1/2016,Lead,2,Copper,0,615 ,GREENFIELD AVE,FLINT,48503
LG17562,2/24/2016,Lead,0,Copper,0,615 ,GREENFIELD AVE,FLINT,48503
LG19814,3/2/2016,Lead,0,Copper,0,615 ,GREENFIELD AVE,FLINT,48503
LG23941,3/16/2016,Lead,0,Copper,0,615,GREENFIELD AVE,FLINT,48503
LG29645,3/30/2016,Lead,0,Copper,0,615,GREENFIELD AVE,FLINT,48503
LG34906,4/13/2016,Lead,0,Copper,0,615,GREENFIELD AVE,FLINT,48503
LG17588,2/24/2016,Lead,2,Copper,0,618 ,GREENFIELD AVE,FLINT,48503
LG19820,3/2/2016,Lead,0,Copper,0,618 ,GREENFIELD AVE,FLINT,48503
LG23891,3/16/2016,Lead,0,Copper,0,618,GREENFIELD AVE,FLINT,48503
LG29665,3/30/2016,Lead,2,Copper,0,618,GREENFIELD AVE,FLINT,48503
LG35735,4/14/2016,Lead,2,Copper,0,618,GREENFIELD AVE,FLINT,48503
LG17882,2/24/2016,Lead,0,Copper,0,711 ,GREENFIELD AVE,FLINT,48503
LG53232,6/16/2016,Lead,0,Copper,0,2609,GREENHILL LANE,FLINT,48507
LG15912,2/19/2016,Lead,6,Copper,150,2601 ,GREENHILL LN,FLINT,48507
LG05910,1/29/2016,Lead,1,Copper,50,2610 ,GREENHILL LN,FLINT,48507
LG04548,1/26/2016,Lead,2,Copper,70,2618 ,GREENHILL LN,FLINT,48507
LG15540,2/18/2016,Lead,0,Copper,70,2625 ,GREENHILL LN,FLINT,48507
LG12926,2/12/2016,Lead,0,Copper,0,4202 ,GREENLAWN DR,FLINT,48504
LG07938,2/2/2016,Lead,1,Copper,0,4208 ,GREENLAWN DR,FLINT,48504
LF85939,10/2/2015,Lead,1,Copper,70,4219 ,GREENLAWN DR,FLINT,48504
LG11281,2/9/2016,Lead,0,Copper,0,4219 ,GREENLAWN DR,FLINT,48504
LG07091,2/1/2016,Lead,2,Copper,60,4220 ,GREENLAWN DR,FLINT,48504
LG09276,2/4/2016,Lead,0,Copper,0,4302 ,GREENLAWN DR,FLINT,48504
LG17075,2/23/2016,Lead,1,Copper,0,4302 ,GREENLAWN DR,FLINT,48504
LG30970,4/1/2016,Lead,0,Copper,0,4310,GREENLAWN DR,FLINT,48504
LG04382,1/26/2016,Lead,0,Copper,0,4311 ,GREENLAWN DR,FLINT,48504
LG10747,2/8/2016,Lead,6,Copper,70,4314 ,GREENLAWN DR,FLINT,48504
LG05674,1/28/2016,Lead,2,Copper,0,4318 ,GREENLAWN DR,FLINT,48504
LG16035,2/19/2016,Lead,0,Copper,0,4402 ,GREENLAWN DR,FLINT,48504
LG02799,1/23/2016,Lead,0,Copper,0,4409 ,GREENLAWN DR,FLINT,48504
LG04878,1/27/2016,Lead,0,Copper,0,4409 ,GREENLAWN DR,FLINT,48504
LG06415,1/30/2016,Lead,0,Copper,0,4409 ,GREENLAWN DR,FLINT,48504
LG05751,1/28/2016,Lead,3,Copper,280,4414 ,GREENLAWN DR,FLINT,48504
LG05307,1/27/2016,Lead,2,Copper,0,4415 ,GREENLAWN DR,FLINT,48504
LG09879,2/5/2016,Lead,1,Copper,0,4502 ,GREENLAWN DR,FLINT,48504
LG11315,2/9/2016,Lead,0,Copper,0,4517 ,GREENLAWN DR,FLINT,48504
LG11966,2/10/2016,Lead,0,Copper,0,4606 ,GREENLAWN DR,FLINT,48504
LG09395,2/4/2016,Lead,0,Copper,0,4614 ,GREENLAWN DR,FLINT,48504
LG19912,3/2/2016,Lead,2,Copper,60,4702 ,GREENLAWN DR,FLINT,48504
LG19913,3/2/2016,Lead,0,Copper,0,4702 ,GREENLAWN DR,FLINT,48504
LG17986,2/24/2016,Lead,0,Copper,0,4808 ,GREENLAWN DR,FLINT,48504
LG00871,1/20/2016,Lead,2,Copper,0,4809 ,GREENLAWN DR,FLINT,48504
LG02852,1/23/2016,Lead,6,Copper,100,4827 ,GREENLAWN DR,FLINT,
LG02980,1/24/2016,Lead,0,Copper,0,4906 ,GREENLAWN DR,FLINT,48504
LG06156,1/29/2016,Lead,0,Copper,0,4906 ,GREENLAWN DR,FLINT,48504
LG10562,2/7/2016,Lead,0,Copper,0,5002 ,GREENLAWN DR,FLINT,48504
LG06607,1/31/2016,Lead,0,Copper,0,42 ,GREENLEAF CT,FLINT,48506
LG04477,1/26/2016,Lead,8,Copper,0,3016 ,GREENLEY ST,FLINT,48503
LG04547,1/26/2016,Lead,1,Copper,0,3114 ,GREENLEY ST,FLINT,48503
LG27911,3/24/2016,Lead,0,Copper,90,3114,GREENLEY ST,FLINT,48503
LG41962,5/3/2016,Lead,5,Copper,0,519,GREENSFIELD AVE,FLINT,48503
LG10543,2/7/2016,Lead,3,Copper,230,1419 ,GREENWAY AVE,FLINT,48504
LG18823,2/29/2016,Lead,64,Copper,310,1425 ,GREENWAY AVE,FLINT,48504
LG23498,3/15/2016,Lead,0,Copper,0,1601,GREENWAY AVE,FLINT,48504
LG11334,2/9/2016,Lead,1,Copper,0,1607 ,GREENWAY AVE,FLINT,48504
LG01564,1/21/2016,Lead,10,Copper,0,1701 ,GREENWAY AVE,FLINT,48504
LG02816,1/23/2016,Lead,28,Copper,0,1701 ,GREENWAY AVE,FLINT,48504
LG29820,3/30/2016,Lead,0,Copper,120,2314,GRIBSON ST,FLINT,48503
LG09649,2/5/2016,Lead,56,Copper,160,1702 ,GRIGGS DR,FLINT,48504
LG43559,5/10/2016,Lead,4,Copper,0,1714,GRIGGS DR,FLINT,48504
LG43561,5/10/2016,Lead,3,Copper,60,1714,GRIGGS DR,FLINT,48504
LG12172,2/11/2016,Lead,0,Copper,0,1720 ,GRIGGS DR,FLINT,48504
LG02085,1/21/2016,Lead,0,Copper,0,1723 ,GRIGGS DR,FLINT,48504
LG05621,1/28/2016,Lead,0,Copper,110,1801 ,GRIGGS DR,FLINT,48504
LG05701,1/28/2016,Lead,0,Copper,170,1801 ,GRIGGS DR,FLINT,48504
LG34350,4/11/2016,Lead,2,Copper,50,1802,GRIGGS DR,FLINT,48504
LG27377,3/23/2016,Lead,1,Copper,70,1819,GRIGGS DR,FLINT,48504
LG26328,3/20/2016,Lead,0,Copper,0,5616,GRIGGS DR,FLINT,48504
LG09256,2/4/2016,Lead,0,Copper,0,5701 ,GRIGGS DR,FLINT,48504
LG06880,2/1/2016,Lead,3,Copper,0,5702 ,GRIGGS DR,FLINT,48504
LG30518,3/31/2016,Lead,2,Copper,0,5702,GRIGGS DR,FLINT,48504
LG02602,1/22/2016,Lead,0,Copper,0,5710 ,GRIGGS DR,FLINT,48505
LG06266,1/30/2016,Lead,2,Copper,60,5801 ,GRIGGS DR,FLINT,48504
LG16028,2/19/2016,Lead,0,Copper,0,5802 ,GRIGGS DR,FLINT,48504
LG00999,1/20/2016,Lead,0,Copper,0,5805 ,GRIGGS DR,FLINT,48503
LG01015,1/20/2016,Lead,0,Copper,0,5805 ,GRIGGS DR,FLINT,48503
LG07675,2/2/2016,Lead,0,Copper,0,5809 ,GRIGGS DR,FLINT,48504
LG06087,1/29/2016,Lead,16,Copper,100,5810 ,GRIGGS DR,FLINT,48504
LG21377,3/8/2016,Lead,0,Copper,0,5810,GRIGGS DR,FLINT,48504
LF87054,10/8/2015,Lead,0,Copper,0,5813 ,GRIGGS DR,FLINT,48504
LG01306,1/21/2016,Lead,0,Copper,0,5813 ,GRIGGS DR,FLINT,48504
LG55293,6/23/2016,Lead,0,Copper,0,5905,GRIGGS DR,FLINT,48504
LG42043,5/3/2016,Lead,0,Copper,0,1840,GROVELAND AVE,FLINT,48505
LG01968,1/21/2016,Lead,42,Copper,210,3417 1/2,GRUNNARD,FLINT,48503
LG06856,2/1/2016,Lead,0,Copper,0,225 ,GUILDFORD ST,FLINT,48507
LG48345,5/31/2016,Lead,0,Copper,0,3109,GULF LN,FLINT,48507
LG48320,5/31/2016,Lead,0,Copper,80,3110,GULF LN,FLINT,48507
LG48351,5/31/2016,Lead,0,Copper,0,3115,GULF LN,FLINT,48507
LG05578,1/28/2016,Lead,0,Copper,80,3129 ,GULF LN,FLINT,48507
LG48337,5/31/2016,Lead,1,Copper,0,3133,GULF LN,FLINT,48507
LG27996,3/24/2016,Lead,0,Copper,0,3103,GULF LN #041,FLINT,48507
LG12179,2/11/2016,Lead,0,Copper,0,2730 ,GULFSIDE LN,FLINT,48504
LG35363,4/13/2016,Lead,2,Copper,0,650,HALL ST,FLINT,48503
LG35367,4/13/2016,Lead,2,Copper,50,650,HALL ST,FLINT,48503
LG20624,3/5/2016,Lead,1,Copper,0,702,HALL ST,FLINT,48503
LG35347,4/13/2016,Lead,2,Copper,0,717,HALL ST,FLINT,48503
